"","series","baker_name","baker","baker_age","baker_occupation","hometown","episode","result","technical","signature_bake","show_stopper"
"356",6,"Ian Cumming","Ian",41,"Travel photographer","Great Wilbraham, Cambridgeshire",9,"IN",3,"Chocolate and Bay Tart","Chocolate Well"
"357",6,"Ian Cumming","Ian",41,"Travel photographer","Great Wilbraham, Cambridgeshire",10,"Runner-up",2,"Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake"
"358",6,"Marie Campbell","Marie",66,"Retired","Auchterarder, Perthshire",1,"STAR BAKER",3,"Zingy Citrus Madeira Cake","A Walk in the Black Forest"
"359",6,"Marie Campbell","Marie",66,"Retired","Auchterarder, Perthshire",2,"OUT",11,"Biscotti Italiano","Russian Box"
"360",6,"Mat Riley","Mat",37,"Fire fighter","London",1,"IN",7,"Gin and Tonic Madeira Cake","Black Forest Gateau"
"361",6,"Mat Riley","Mat",37,"Fire fighter","London",2,"IN",5,"Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine"
"362",6,"Mat Riley","Mat",37,"Fire fighter","London",3,"IN",8,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion"
"363",6,"Mat Riley","Mat",37,"Fire fighter","London",4,"IN",7,"Coconut Crème Brûlées","Chocolate Bar Cheesecakes"
"364",6,"Mat Riley","Mat",37,"Fire fighter","London",5,"IN",4,"Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll"
"365",6,"Mat Riley","Mat",37,"Fire fighter","London",6,"STAR BAKER",1,"Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents"
"366",6,"Mat Riley","Mat",37,"Fire fighter","London",7,"OUT",6,"Raised Venison and Pigeon Pie","Strawberry Charlotte Russe"
"367",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",1,"IN",12,"Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau"
"368",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",2,"IN",9,"Coconut, Fennel and Pistachio Biscotti","Box of Fortunes"
"369",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",3,"IN",9,"Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket"
"370",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",4,"IN",8,"Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes"
"371",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",5,"STAR BAKER",1,"Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll"
"372",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",6,"IN",4,"Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents"
"373",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",7,"IN",1,"Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe"
"374",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",8,"STAR BAKER",1,"Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne"
"375",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",9,"STAR BAKER",4,"Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door"
"376",6,"Nadiya Hussain","Nadiya",30,"Full-time mother","Leeds / Luton",10,"WINNER",1,"Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake"
"377",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",1,"IN",10,"Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation"
"378",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",2,"IN",10,"Chocolate, Hazelnut and Fig Biscotti","Memory Box"
"379",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",3,"IN",10,"Cranberry and Orange Sweet Soda Breads","King of the Jungle"
"380",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",4,"IN",1,"Almond Crème Brûlées","Berry Cheesecake Tower"
"381",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",5,"IN",2,"Carrot & Pecan Cake","Dessert Island Getaway"
"382",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",6,"IN",5,"Christmas Frangipane Tart","Savoury and Sweet Bouchées"
"383",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",7,"IN",2,"Not a Boaring Pie","Charlotte Rose"
"384",6,"Paul Jagger","Paul",49,"Prison governor","Swansea, Wales",8,"OUT",5,"Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne"
"385",6,"Sandy Docherty","Sandy",49,"Child welfare officer","Yeadon, West Yorkshire",1,"IN",9,"Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau"
"386",6,"Sandy Docherty","Sandy",49,"Child welfare officer","Yeadon, West Yorkshire",2,"IN",4,"Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box"
"387",6,"Sandy Docherty","Sandy",49,"Child welfare officer","Yeadon, West Yorkshire",3,"IN",7,"Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre"
"388",6,"Sandy Docherty","Sandy",49,"Child welfare officer","Yeadon, West Yorkshire",4,"OUT",6,"Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes"
"389",6,"Stu Henshall","Stu",35,"Professional musician","Guildford, Surrey",1,"OUT",11,"Marley Madeira Cake","Purple Forest Gâteau"
"390",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",1,"IN",4,"Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell"
"391",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",2,"IN",8,"Cinnamon, Maple and Cranberry Biscotti","Chessboard Box"
"392",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",3,"IN",3,"Fig, Cheese and Walnut Breads","Breadcycle"
"393",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",4,"IN",5,"Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio"
"394",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",5,"IN",7,"Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll"
"395",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",6,"IN",7,"Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents"
"396",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",7,"STAR BAKER",3,"Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
"397",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",8,"IN",4,"Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne"
"398",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",9,"IN",2,"Chocolate New York Pie","Chocolate Bell Tower"
"399",6,"Tamal Ray","Tamal",29,"Trainee anaesthetist","Manchester",10,"Runner-up",3,"Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake"
"400",6,"Ugnė Bubnaityte","Ugnė",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",1,"IN",1,"Lemon and Thyme Madeira Cake","Falling Cup Gâteau"
"401",6,"Ugnė Bubnaityte","Ugnė",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",2,"IN",7,"White Wine Biscotti","Baby Climbing into the Cookie Box"
"402",6,"Ugnė Bubnaityte","Ugnė",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",3,"IN",5,"Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket"
"403",6,"Ugnė Bubnaityte","Ugnė",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",4,"IN",2,"Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes"
"404",6,"Ugnė Bubnaityte","Ugnė",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",5,"OUT",6,"Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll"
"405",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",1,"IN",12,"Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake"
"406",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",2,"IN",4,"Beehive Biscuits","Punting in Cambridge"
"407",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",3,"IN",2,"Chocolate Barmbrack Bread","Braided Harvest Bread Basket"
"408",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",4,"IN",4,"Yorkshire 'Tapas' Puddings","Churros Window Box"
"409",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",5,"IN",6,"Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites"
"410",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",6,"IN",6,"Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio"
"411",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",7,"STAR BAKER",1,"Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes"
"412",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",8,"IN",2,"Da Vinci Inspired Geared Pies","Jousting Knights Marchpane"
"413",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",9,"STAR BAKER",2,"Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants"
"414",7,"Andrew Smyth","Andrew",25,"Aerospace engineer","Derby / Holywood, County Down",10,"Runner-up",1,"Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic"
"415",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",1,"IN",6,"Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream"
"416",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",2,"IN",3,"Bouquet Biscuits","New York, New York"
"417",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",3,"IN",6,"Chocolate, Tahini and Almond Babka","Braided Bread Heart"
"418",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",4,"STAR BAKER",1,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros"
"419",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",5,"IN",5,"'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups"
"420",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",6,"IN",2,"Grapefruit and Ginger Meringue Pie","Floral Tea Cake"
"421",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",7,"IN",3,"Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake"
"422",7,"Benjamina Ebuehi","Benjamina",23,"Teaching assistant","South London",8,"OUT",4,"Mexican Adventure","Tudor Garden"
"423",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",1,"IN",5,"Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
"424",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",2,"STAR BAKER",8,"Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet"
"425",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",3,"IN",3,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist"
"426",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",4,"IN",2,"Yorkshire Wellingtons","Two-Way Peanut Butter Churros"
"427",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",5,"STAR BAKER",2,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
"428",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",6,"IN",5,"Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake"
"429",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,"IN",2,"Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse"
"430",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",8,"STAR BAKER",1,"Cheesy Cheeky Fish Pies","Peacock"
"431",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",9,"IN",3,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies"
"432",7,"Candice Brown","Candice",31,"PE teacher","Barton-Le-Clay, Bedfordshire",10,"WINNER",2,"Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens"
"433",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",1,"STAR BAKER",7,"Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake"
"434",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",2,"IN",2,"Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat"
"435",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",3,"IN",9,"Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre"
"436",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",4,"IN",3,"Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros"
"437",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",5,"IN",1,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
"438",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",6,"IN",4,"Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar"
"439",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",7,"IN",4,"Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
"440",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",8,"IN",5,"Tudor Rose Pies","Swans"
"441",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",9,"IN",1,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies"
"442",7,"Jane Beedle","Jane",61,"Garden designer","Beckenham",10,"Runner-up",3,"Red, White and Blue Meringue Crown","Family Favourites Feast"
"443",7,"Kate Barmby","Kate",37,"Nurse","Brooke, Norfolk",1,"IN",4,"Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake"
"444",7,"Kate Barmby","Kate",37,"Nurse","Brooke, Norfolk",2,"IN",1,"""A Biscuit for the Broads""","""I Promise I will do my best"""
"445",7,"Kate Barmby","Kate",37,"Nurse","Brooke, Norfolk",3,"IN",8,"Cobbled Loaf","The Corn Maiden"
"446",7,"Kate Barmby","Kate",37,"Nurse","Brooke, Norfolk",4,"OUT",7,"Christmas Dinner Compromise","Hot Cross Bunny Churros"
"447",7,"Lee Banfield","Lee",67,"Pastor","Bolton",1,"OUT",11,"St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake"
"448",7,"Louise Williams","Louise",46,"Hairdresser","Cardiff",1,"IN",9,"Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake"
"449",7,"Louise Williams","Louise",46,"Hairdresser","Cardiff",2,"OUT",10,"Baa Bara Brith Biscuits","Gingerbread Wedding"
"450",7,"Michael Georgiou","Michael",20,"Student","Durham",1,"IN",3,"Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze"
"451",7,"Michael Georgiou","Michael",20,"Student","Durham",2,"IN",9,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland"
"452",7,"Michael Georgiou","Michael",20,"Student","Durham",3,"OUT",7,"Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous"
"453",7,"Rav Bansal","Rav",28,"Student support","Erith",1,"IN",8,"Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake"
"454",7,"Rav Bansal","Rav",28,"Student support","Erith",2,"IN",6,"Union Jack Bunting Biscuits","Gingerbread Christmas Fairground"
"455",7,"Rav Bansal","Rav",28,"Student support","Erith",3,"IN",10,"Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece"
"456",7,"Rav Bansal","Rav",28,"Student support","Erith",4,"IN",9,"Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros"
"457",7,"Rav Bansal","Rav",28,"Student support","Erith",5,"IN",8,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas"
"458",7,"Rav Bansal","Rav",28,"Student support","Erith",6,"OUT",3,"Mandarin Margarita Meringue Pie","Blossom Cake"
"459",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",1,"IN",1,"Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
"460",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",2,"IN",11,"""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church"
"461",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",3,"IN",5,"Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread"
"462",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",4,"IN",8,"Perfect Sunday Roast Accompaniment","Lemon and Anise Churros"
"463",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",5,"IN",3,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
"464",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",6,"IN",7,"Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake"
"465",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",7,"IN",6,"Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
"466",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",8,"IN",3,"Bouquet of Flowers","Fruity Tudor Marchpane"
"467",7,"Selasi Gbormittah","Selasi",30,"Client service associate","London",9,"OUT",4,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies"
"468",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",1,"IN",2,"G&T Drizzle Cake","Black Forest Broken Mirror"
"469",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",2,"IN",7,"Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience"
"470",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",3,"STAR BAKER",4,"Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir"
"471",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",4,"IN",5,"West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass"
"472",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",5,"IN",4,"Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche"
"473",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",6,"STAR BAKER",1,"Blood Orange Halloween Pumpkin Pie","Floral Tea Cake"
"474",7,"Tom Gilliford","Tom",26,"Project engagement manager","Rochdale",7,"OUT",5,"Millionaire's Roulade","Hipster Picnic"
"475",7,"Val Stones","Val",66,"Semi-retired, Substitute teacher","Yeovil",1,"IN",10,"Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting"
"476",7,"Val Stones","Val",66,"Semi-retired, Substitute teacher","Yeovil",2,"IN",5,"Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire"
"477",7,"Val Stones","Val",66,"Semi-retired, Substitute teacher","Yeovil",3,"IN",1,"Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain"""
"478",7,"Val Stones","Val",66,"Semi-retired, Substitute teacher","Yeovil",4,"IN",6,"Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros"
"479",7,"Val Stones","Val",66,"Semi-retired, Substitute teacher","Yeovil",5,"OUT",7,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
"480",8,"Chris Geiger","Chris",50,"Software developer","Bristol",1,"IN",12,"Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake"
"481",8,"Chris Geiger","Chris",50,"Software developer","Bristol",2,"OUT",11,"Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game"
"482",8,"Flo Atkins","Flo",71,"Retired","Merseyside",1,"IN",9,"Citrus Layer Cake","'One in a Melon' Cake"
"483",8,"Flo Atkins","Flo",71,"Retired","Merseyside",2,"IN",10,"Gin Jam Butties","'Pick My Bones' Game"
"484",8,"Flo Atkins","Flo",71,"Retired","Merseyside",3,"OUT",7,"Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture"
"485",8,"James Hillery","James",46,"Banker","Brentwood, Essex",1,"IN",2,"Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake"
"486",8,"James Hillery","James",46,"Banker","Brentwood, Essex",2,"IN",3,"Rhubarb and Custard Whirls","'Coppit' Game"
"487",8,"James Hillery","James",46,"Banker","Brentwood, Essex",3,"IN",9,"Nordic Teacakes","'Owl in the Woods' Bread Sculpture"
"488",8,"James Hillery","James",46,"Banker","Brentwood, Essex",4,"IN",2,"'Windy City' Millionaire Shortbreads","Nutty Caramel Cake"
"489",8,"James Hillery","James",46,"Banker","Brentwood, Essex",5,"OUT",7,"Orange and Ginger Steamed School Pudding","'The Missed Silver Jubilee' Trifle Terrine"
"490",8,"Julia Chernogorova","Julia",21,"Aviation Broker","Crawley, West Sussex",1,"IN",3,"Courgette and Lemon Cake","'Russian Doll' Cake"
"491",8,"Julia Chernogorova","Julia",21,"Aviation Broker","Crawley, West Sussex",2,"IN",4,"Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game"
"492",8,"Julia Chernogorova","Julia",21,"Aviation Broker","Crawley, West Sussex",3,"STAR BAKER",2,"Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture"
"493",8,"Julia Chernogorova","Julia",21,"Aviation Broker","Crawley, West Sussex",4,"IN",9,"Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake"
"494",8,"Julia Chernogorova","Julia",21,"Aviation Broker","Crawley, West Sussex",5,"IN",3,"Orange & Treacle Steamed School Pudding","'Opulent Ornament' Trifle Terrine"
"495",8,"Julia Chernogorova","Julia",21,"Aviation Broker","Crawley, West Sussex",6,"OUT",7,"'Pies from the Tree' Decorative Pies","'Special Occasion' Pie"
"496",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",1,"IN",1,"Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake"
"497",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",2,"IN",8,"Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game"
"498",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",3,"IN",10,"Blueberry Buns","'Kraken' Bread Sculpture"
"499",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",4,"STAR BAKER",6,"Salted Bay Caramel Millionaire Shortbreads","Sticky Toffee Apple Caramel Cake"
"500",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",5,"IN",8,"'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'My Great Great Nan's' Raspberry Trifle Terrine"
"501",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",6,"IN",5,"'Vegetarian Pie Faces' Decorative Pies","Potato Curry Pie with Mango & Chilli Glaze"
"502",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",7,"IN",6,"'Happy Hour' Cocktail Cannoli","'Flavour Fusion' Sfogliatelle"
"503",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",8,"IN",2,"Burrito Bedfordshire Clangers","'Liver Building Turret' Savoy Cake"
"504",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",9,"IN",4,"Bellini and Valencian Orange Choux Buns","'Rainbow' Meringue Centrepiece"
"505",8,"Kate Lyon","Kate",29,"Health and safety inspector","Merseyside",10,"Runner-up",3,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
"506",8,"Liam Charles","Liam",19,"Student","North London",1,"IN",8,"Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake"
"507",8,"Liam Charles","Liam",19,"Student","North London",2,"IN",7,"Coffee Malted Pecan Shorties","'Classroom Classics' Game"
"508",8,"Liam Charles","Liam",19,"Student","North London",3,"IN",5,"Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture"
"509",8,"Liam Charles","Liam",19,"Student","North London",4,"IN",3,"Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake"
"510",8,"Liam Charles","Liam",19,"Student","North London",5,"IN",2,"Cherries & Lemons that are 'Baked Well'","'Cheers Lads' Trifle Terrine"
"511",8,"Liam Charles","Liam",19,"Student","North London",6,"STAR BAKER",4,"'Standard FC' Decorative Pies","'Nan's Sunday Dinner' Pie"
"512",8,"Liam Charles","Liam",19,"Student","North London",7,"IN",2,"'Just Doing Me' Cannoli","'Morning Delivery' Sfogliatelle"
"513",8,"Liam Charles","Liam",19,"Student","North London",8,"OUT",5,"'Take Out' Bedfordshire Clangers","'Fort Wizardore' Savoy Cake"
"514",8,"Peter Abatan","Peter",52,"IT programme manager","Southend, Essex",1,"OUT",10,"Coconut Cake","'Bread on a Breadboard' Cake"
"515",8,"Sophie Faldo","Sophie",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",1,"IN",5,"Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake"
"516",8,"Sophie Faldo","Sophie",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",2,"IN",2,"Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game"
"517",8,"Sophie Faldo","Sophie",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",3,"IN",6,"Tagine Teacakes","'Picnic Basket' Bread Sculpture"
